movie_id,real_budget,real_revenue,real_profit,is_profitable,ROI,log_real_revenue,is_sequel,is_major_studio,is_blockbuster_season,is_weekend_release,released_year,released_date,runtime,director,star,writer,director_win_rate,star_win_rate,writer_win_rate,production_win_rate,rating_win_rate,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
*batteries not included,69036091.54929577,179739045.9410211,110702954.39172535,1,1.6035518800000002,19.007016617749272,0,1,0,0,1987,"December 18, 1987 (United States)",106.0,Matthew Robbins,Hume Cronyn,Mick Garris,0.3333333333333333,1.0,1.0,0.7804878048780488,0.7196885428253615,PG,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 cloverfield lane,6535416.666666667,141539377.4225,135003960.75583336,1,20.6572844,18.768088529069843,0,1,0,1,2016,"March 11, 2016 (United States)",103.0,Dan Trachtenberg,John Goodman,Josh Campbell,1.0,0.5714285714285714,1.0,0.7992700729927007,0.7330583382439599,PG-13,United States,4629.0,6.999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 things i hate about you,56488595.438175276,100697660.4579832,44209065.01980792,1,0.7826192999999999,18.427633134558988,0,0,0,0,1999,"March 31, 1999 (United States)",97.0,Gil Junger,Heath Ledger,Karen McCullah,0.5,0.4,1.0,0.7307692307692307,0.7330583382439599,PG-13,United States,8793.0,7.589,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10 to midnight,14236184.738955824,22600233.03614458,8364048.297188757,1,0.587520353982301,16.933470819770513,0,0,0,0,1983,"March 11, 1983 (United States)",101.0,J. Lee Thompson,Charles Bronson,William Roberts,0.8571428571428571,0.7777777777777778,1.0,0.8333333333333334,0.6257332811888933,R,United States,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10,000 bc",152988852.7635857,393085480.0450534,240096627.28146774,1,1.569373342857143,19.78953765520237,0,1,0,0,2008,"March 7, 2008 (United States)",109.0,Roland Emmerich,Camilla Belle,Roland Emmerich,0.9090909090909091,0.75,1.0,0.7728813559322034,0.7330583382439599,PG-13,United States,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 dalmatians,149952198.85277244,641174197.1179094,491221998.26513696,1,3.275857253333333,20.27881173789924,0,1,0,0,1996,"November 27, 1996 (United States)",103.0,Stephen Herek,Glenn Close,Dodie Smith,0.6,0.6666666666666666,0.6666666666666666,0.8942307692307693,0.7798165137614679,G,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102 dalmatians,154846109.17537746,334489039.2723577,179642930.09698024,1,1.1601384823529413,19.628114672488636,0,0,0,0,2000,"November 22, 2000 (United States)",100.0,Kevin Lima,Glenn Close,Dodie Smith,1.0,0.6666666666666666,0.6666666666666666,1.0,0.7798165137614679,G,United States,1455.0,5.504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 monkeys,57981518.889101334,337571308.40216696,279589789.51306564,1,4.822050109584479,19.63728733307641,0,1,0,0,1996,"January 5, 1996 (United States)",129.0,Terry Gilliam,Bruce Willis,Chris Marker,0.5,0.7352941176470589,1.0,0.7804878048780488,0.6257332811888933,R,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 rounds,32174358.974358972,25271973.26899767,-6902385.705361303,0,-0.2145306363636363,17.045206603301054,0,0,0,0,2009,"March 27, 2009 (United States)",108.0,Renny Harlin,John Cena,Daniel Kunka,0.4666666666666667,0.6666666666666666,0.0,0.4444444444444444,0.7330583382439599,PG-13,United States,834.0,5.899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12 strong,43725607.327757865,88848407.72043012,45122800.392672256,1,1.0319536571428574,18.302442202673884,0,0,0,1,2018,"January 19, 2018 (United States)",130.0,Nicolai Fuglsig,Chris Hemsworth,Ted Tally,1.0,0.75,1.0,0.7916666666666666,0.6257332811888933,R,United States,1312.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 years a slave,26927038.626609445,243723820.16781116,216796781.5412017,1,8.05126715,19.311546261737217,0,0,0,0,2013,"November 8, 2013 (United States)",134.0,Steve McQueen,Chiwetel Ejiofor,John Ridley,1.0,0.6,0.6,0.7368421052631579,0.6257332811888933,R,United States,6631.0,7.933,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127 hours,25889958.734525446,86612226.23888125,60722267.5043558,1,2.345398388888889,18.27695155570088,0,0,1,1,2010,"January 28, 2011 (United States)",94.0,Danny Boyle,James Franco,Danny Boyle,0.8,0.7142857142857143,1.0,0.9375,0.6257332811888933,R,United States,4469.0,7.088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
13 assassins,8629986.244841816,26881052.244841814,18251066.0,1,2.114843,17.106932256067424,0,0,0,0,2010,"September 25, 2010 (Japan)",141.0,Takashi Miike,Kôji Yakusho,Kaneo Ikegami,0.5,1.0,1.0,1.0,0.6257332811888933,R,Japan,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 going on 30,61444679.72472207,160180794.85918474,98736115.13446267,1,1.6069107297297296,18.891813709377775,1,0,0,0,2004,"April 23, 2004 (United States)",98.0,Gary Winick,Jennifer Garner,Josh Goldsmith,1.0,0.8333333333333334,1.0,0.7741935483870968,0.7330583382439599,PG-13,United States,5481.0,6.767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13 hours,65354166.66666667,90726444.87083334,25372278.204166666,1,0.38822739999999994,18.32335944778771,0,1,0,0,2016,"January 15, 2016 (United States)",144.0,Michael Bay,John Krasinski,Chuck Hogan,1.0,0.5,1.0,0.7992700729927007,0.6257332811888933,R,United States,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,37831644.95899662,201208991.3791606,163377346.420164,1,4.31853668,19.119854688924526,0,0,0,0,2007,"June 22, 2007 (United States)",104.0,Mikael Håfström,John Cusack,Matt Greenberg,1.0,0.65,1.0,0.7291666666666666,0.7330583382439599,PG-13,United States,4807.0,6.697,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1492: conquest of paradise,105088382.03848895,16079414.585174626,-89008967.45331433,0,-0.8469915106382979,16.59305047684907,0,0,0,0,1992,"October 9, 1992 (United States)",154.0,Ridley Scott,Gérard Depardieu,Rose Bosch,0.7727272727272727,0.5,0.0,0.0,0.7330583382439599,PG-13,United Kingdom,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 minutes,106278938.4528515,99831314.09373236,-6447624.359119147,0,-0.06066700000000005,18.41899247055783,0,1,0,0,2001,"March 9, 2001 (United States)",120.0,John Herzfeld,Robert De Niro,John Herzfeld,0.5,0.5,0.5,0.7697368421052632,0.6257332811888933,R,United States,787.0,5.907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
16 blocks,80914682.53968254,102177693.34176587,21263010.80208333,1,0.2627830961538461,18.44222395693986,0,0,0,0,2006,"March 3, 2006 (United States)",102.0,Richard Donner,Bruce Willis,Richard Wenk,0.7857142857142857,0.7352941176470589,1.0,0.7916666666666666,0.7330583382439599,PG-13,United States,2063.0,6.448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17 again,29249417.24941725,199359465.06293705,170110047.8135198,1,5.815844,19.110620115304044,0,1,0,0,2009,"April 17, 2009 (United States)",102.0,Burr Steers,Zac Efron,Jason Filardi,0.5,0.8888888888888888,1.0,0.7697368421052632,0.7330583382439599,PG-13,United States,5370.0,6.313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1
1917,115152627.51159196,466214902.3659196,351062274.8543276,1,3.0486692526315786,19.960157251806837,0,0,0,0,2020,"January 10, 2020 (United States)",119.0,Sam Mendes,Dean-Charles Chapman,Sam Mendes,0.875,1.0,1.0,0.8194444444444444,0.6257332811888933,R,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,18562130.17751479,15854740.073541842,-2707390.103972949,0,-0.1458555714285714,16.578979134918796,0,0,0,0,1988,"November 18, 1988 (United States)",95.0,Ernest Thompson,Robert Downey Jr.,Ernest Thompson,0.0,0.7222222222222222,0.0,0.5714285714285714,0.6257332811888933,R,United States,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 fast 2 furious,129571739.13043478,402952186.7157608,273380447.5853261,1,2.1098771184210525,19.81432847196875,1,1,0,0,2003,"June 6, 2003 (United States)",107.0,John Singleton,Paul Walker,Gary Scott Thompson,0.875,0.42857142857142855,0.8,0.7804878048780488,0.7330583382439599,PG-13,United States,8044.0,6.516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2 guns,82127467.8111588,178382226.63304722,96254758.82188842,1,1.1720166393442621,18.999439152256702,0,1,0,1,2013,"August 2, 2013 (United States)",109.0,Baltasar Kormákur,Denzel Washington,Blake Masters,1.0,0.8484848484848485,1.0,0.7804878048780488,0.6257332811888933,R,United States,2368.0,6.541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200 cigarettes,11297719.087635055,12902842.527010806,1605123.4393757507,1,0.14207500000000003,16.37295827349157,0,0,0,0,1999,"February 26, 1999 (United States)",101.0,Risa Bramon Garcia,Ben Affleck,Shana Larsen,1.0,0.8095238095238095,1.0,0.5,0.6257332811888933,R,United States,176.0,5.793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010: the year we make contact,84538979.78825794,121979654.48411934,37440674.6958614,1,0.44288060714285704,18.619364830464924,0,0,0,0,1984,"December 7, 1984 (United States)",116.0,Peter Hyams,Roy Scheider,Arthur C. Clarke,0.5,0.6666666666666666,1.0,0.5833333333333334,0.7196885428253615,PG,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,292494172.4941725,1157133016.3925407,864638843.8983681,1,2.956089129999999,20.86921124604541,0,1,0,0,2009,"November 13, 2009 (United States)",158.0,Roland Emmerich,John Cusack,Roland Emmerich,0.9090909090909091,0.65,1.0,0.7559322033898305,0.7330583382439599,PG-13,United States,12596.0,5.869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,19928004.235044997,33555034.255690835,13627030.020645838,1,0.683813083333333,17.328697492257604,0,0,0,0,2004,"September 29, 2004 (Hong Kong)",129.0,Kar-Wai Wong,Tony Chiu-Wai Leung,Kar-Wai Wong,0.75,1.0,1.0,1.0,0.6257332811888933,R,Hong Kong,1050.0,7.234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0
20th century women,8959200.32639739,9234127.467156263,274927.1407588739,1,0.030686571428571424,16.038416794358213,0,0,0,0,2017,"January 20, 2017 (United States)",119.0,Mike Mills,Annette Bening,Mike Mills,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.6257332811888933,R,United States,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,50996284.25452856,232846658.93636784,181850374.6818393,1,3.565953428571429,19.265890683018224,0,1,0,0,2008,"March 28, 2008 (United States)",123.0,Robert Luketic,Jim Sturgess,Peter Steinfeld,0.7142857142857143,0.5,0.5,0.7559322033898305,0.7330583382439599,PG-13,United States,4969.0,6.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
21 & over,17502575.10729614,64713310.327897,47210735.22060086,1,2.6973593846153845,17.985477477535326,0,0,0,0,2013,"March 1, 2013 (United States)",93.0,Jon Lucas,Miles Teller,Jon Lucas,1.0,0.75,1.0,0.875,0.6257332811888933,R,United States,4969.0,6.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 grams,33213340.39174166,100350519.29221809,67137178.90047643,1,2.0213919499999995,18.424179817968646,0,0,0,0,2004,"January 16, 2004 (United States)",124.0,Alejandro G. Iñárritu,Sean Penn,Guillermo Arriaga,1.0,0.4117647058823529,0.6,0.6666666666666666,0.6257332811888933,R,United States,3343.0,7.322,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21 jump street,57384146.34146341,277100431.08580136,219716284.74433795,1,3.828867357142857,19.4398905691456,0,1,0,0,2012,"March 16, 2012 (United States)",109.0,Phil Lord,Jonah Hill,Michael Bacall,1.0,1.0,0.6666666666666666,0.7559322033898305,0.6257332811888933,R,United States,6527.0,6.885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0
22 jump street,66265314.74440219,439118871.5724546,372853556.8280524,1,5.62667752,19.90028071473234,0,1,1,1,2014,"June 13, 2014 (United States)",112.0,Phil Lord,Channing Tatum,Michael Bacall,1.0,1.0,0.6666666666666666,0.7559322033898305,0.6257332811888933,R,United States,5167.0,6.827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
25th hour,8524456.52173913,40801552.464673914,32277095.94293478,1,3.7864109999999997,17.52423071376411,0,0,0,0,2003,"January 10, 2003 (United States)",135.0,Spike Lee,Edward Norton,David Benioff,0.5625,0.8333333333333334,0.8333333333333334,1.0,0.6257332811888933,R,United States,2533.0,7.321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 dresses,43711100.78959591,236994814.71760333,193283713.92800742,1,4.421845033333334,19.283548824250882,0,0,0,0,2008,"January 18, 2008 (United States)",111.0,Anne Fletcher,Katherine Heigl,Aline Brosh McKenna,1.0,1.0,0.8,0.9107142857142857,0.7330583382439599,PG-13,United States,3349.0,6.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28 days,78333914.05342625,113308995.6242741,34975081.570847854,1,0.44648709302325584,18.545629128179197,0,1,0,0,2000,"April 14, 2000 (United States)",103.0,Betty Thomas,Sandra Bullock,Susannah Grant,0.8571428571428571,0.9,0.7142857142857143,0.7559322033898305,0.7330583382439599,PG-13,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
