movie_id,real_budget,real_revenue,real_profit,is_profitable,is_sequel,is_blockbuster_season,runtime,star,director,writer,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
*batteries not included,69036091.54929577,179739045.9410211,110702954.39172535,1,0,0,106.0,Hume Cronyn,Matthew Robbins,Mick Garris,PG,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 cloverfield lane,6535416.666666667,141539377.4225,135003960.75583336,1,0,0,103.0,John Goodman,Dan Trachtenberg,Josh Campbell,PG-13,United States,4629.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 things i hate about you,56488595.438175276,100697660.4579832,44209065.01980792,1,0,0,97.0,Heath Ledger,Gil Junger,Karen McCullah,PG-13,United States,8790.0,7.589,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10 to midnight,14236184.738955824,22600233.03614458,8364048.297188757,1,0,0,101.0,Charles Bronson,J. Lee Thompson,William Roberts,R,United States,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10,000 bc",152988852.7635857,393085480.0450534,240096627.28146774,1,0,0,109.0,Camilla Belle,Roland Emmerich,Roland Emmerich,PG-13,United States,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 dalmatians,149952198.85277244,641174197.1179094,491221998.26513696,1,0,0,103.0,Glenn Close,Stephen Herek,Dodie Smith,G,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102 dalmatians,154846109.17537746,334489039.2723577,179642930.09698024,1,0,0,100.0,Glenn Close,Kevin Lima,Dodie Smith,G,United States,1454.0,5.504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 monkeys,57981518.889101334,337571308.40216696,279589789.51306564,1,0,0,129.0,Bruce Willis,Terry Gilliam,Chris Marker,R,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 rounds,32174358.974358972,25271973.26899767,-6902385.705361303,0,0,0,108.0,John Cena,Renny Harlin,Daniel Kunka,PG-13,United States,834.0,5.899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12 strong,43725607.327757865,88848407.72043012,45122800.392672256,1,0,0,130.0,Chris Hemsworth,Nicolai Fuglsig,Ted Tally,R,United States,1312.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
